,Date,Media Sources,Negative,Neutral,Positive,Source Account,Tweet Polarity,Tweets Ago
101,Tue Jan 09 09:22:02 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,102
102,Sun Jan 07 13:04:22 +0000 2018,@OPECnews,0.0,1.0,0.0,OPEC News,0.0,103
103,Fri Jan 05 06:41:47 +0000 2018,@OPECnews,0.0,0.863,0.137,The Economist,0.4019,104
104,Fri Jan 05 06:38:54 +0000 2018,@OPECnews,0.0,0.901,0.099,OPEC News,0.3182,105
105,Fri Jan 05 06:37:57 +0000 2018,@OPECnews,0.0,0.811,0.189,OPEC News,0.5994,106
106,Fri Jan 05 06:36:46 +0000 2018,@OPECnews,0.0,0.948,0.052,OPEC News,0.0382,107
107,Thu Jan 04 06:57:14 +0000 2018,@OPECnews,0.0,0.842,0.158,Gulf Intelligence,0.4939,108
108,Wed Jan 10 22:00:01 +0000 2018,@OPECnews,0.0,1.0,0.0,GasBuddy,0.0,109
109,Tue Jan 09 10:39:31 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,110
110,Tue Jan 09 09:22:02 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,111
111,Sun Jan 07 13:04:22 +0000 2018,@OPECnews,0.0,1.0,0.0,OPEC News,0.0,112
112,Fri Jan 05 06:41:47 +0000 2018,@OPECnews,0.0,0.863,0.137,The Economist,0.4019,113
113,Fri Jan 05 06:38:54 +0000 2018,@OPECnews,0.0,0.901,0.099,OPEC News,0.3182,114
114,Fri Jan 05 06:37:57 +0000 2018,@OPECnews,0.0,0.811,0.189,OPEC News,0.5994,115
115,Fri Jan 05 06:36:46 +0000 2018,@OPECnews,0.0,0.948,0.052,OPEC News,0.0382,116
116,Thu Jan 04 06:57:14 +0000 2018,@OPECnews,0.0,0.842,0.158,Gulf Intelligence,0.4939,117
117,Wed Jan 10 22:00:01 +0000 2018,@OPECnews,0.0,1.0,0.0,GasBuddy,0.0,118
118,Tue Jan 09 10:39:31 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,119
119,Tue Jan 09 09:22:02 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,120
120,Sun Jan 07 13:04:22 +0000 2018,@OPECnews,0.0,1.0,0.0,OPEC News,0.0,121
121,Fri Jan 05 06:41:47 +0000 2018,@OPECnews,0.0,0.863,0.137,The Economist,0.4019,122
122,Fri Jan 05 06:38:54 +0000 2018,@OPECnews,0.0,0.901,0.099,OPEC News,0.3182,123
123,Fri Jan 05 06:37:57 +0000 2018,@OPECnews,0.0,0.811,0.189,OPEC News,0.5994,124
124,Fri Jan 05 06:36:46 +0000 2018,@OPECnews,0.0,0.948,0.052,OPEC News,0.0382,125
125,Thu Jan 04 06:57:14 +0000 2018,@OPECnews,0.0,0.842,0.158,Gulf Intelligence,0.4939,126
126,Wed Jan 10 22:00:01 +0000 2018,@OPECnews,0.0,1.0,0.0,GasBuddy,0.0,127
127,Tue Jan 09 10:39:31 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,128
128,Tue Jan 09 09:22:02 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,129
129,Sun Jan 07 13:04:22 +0000 2018,@OPECnews,0.0,1.0,0.0,OPEC News,0.0,130
130,Fri Jan 05 06:41:47 +0000 2018,@OPECnews,0.0,0.863,0.137,The Economist,0.4019,131
131,Fri Jan 05 06:38:54 +0000 2018,@OPECnews,0.0,0.901,0.099,OPEC News,0.3182,132
132,Fri Jan 05 06:37:57 +0000 2018,@OPECnews,0.0,0.811,0.189,OPEC News,0.5994,133
133,Fri Jan 05 06:36:46 +0000 2018,@OPECnews,0.0,0.948,0.052,OPEC News,0.0382,134
134,Thu Jan 04 06:57:14 +0000 2018,@OPECnews,0.0,0.842,0.158,Gulf Intelligence,0.4939,135
135,Wed Jan 10 22:00:01 +0000 2018,@OPECnews,0.0,1.0,0.0,GasBuddy,0.0,136
136,Tue Jan 09 10:39:31 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,137
137,Tue Jan 09 09:22:02 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,138
138,Sun Jan 07 13:04:22 +0000 2018,@OPECnews,0.0,1.0,0.0,OPEC News,0.0,139
139,Fri Jan 05 06:41:47 +0000 2018,@OPECnews,0.0,0.863,0.137,The Economist,0.4019,140
140,Fri Jan 05 06:38:54 +0000 2018,@OPECnews,0.0,0.901,0.099,OPEC News,0.3182,141
141,Fri Jan 05 06:37:57 +0000 2018,@OPECnews,0.0,0.811,0.189,OPEC News,0.5994,142
142,Fri Jan 05 06:36:46 +0000 2018,@OPECnews,0.0,0.948,0.052,OPEC News,0.0382,143
143,Thu Jan 04 06:57:14 +0000 2018,@OPECnews,0.0,0.842,0.158,Gulf Intelligence,0.4939,144
144,Wed Jan 10 22:00:01 +0000 2018,@OPECnews,0.0,1.0,0.0,GasBuddy,0.0,145
145,Tue Jan 09 10:39:31 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,146
146,Tue Jan 09 09:22:02 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,147
147,Sun Jan 07 13:04:22 +0000 2018,@OPECnews,0.0,1.0,0.0,OPEC News,0.0,148
148,Fri Jan 05 06:41:47 +0000 2018,@OPECnews,0.0,0.863,0.137,The Economist,0.4019,149
149,Fri Jan 05 06:38:54 +0000 2018,@OPECnews,0.0,0.901,0.099,OPEC News,0.3182,150
150,Fri Jan 05 06:37:57 +0000 2018,@OPECnews,0.0,0.811,0.189,OPEC News,0.5994,151
151,Fri Jan 05 06:36:46 +0000 2018,@OPECnews,0.0,0.948,0.052,OPEC News,0.0382,152
152,Thu Jan 04 06:57:14 +0000 2018,@OPECnews,0.0,0.842,0.158,Gulf Intelligence,0.4939,153
153,Wed Jan 10 22:00:01 +0000 2018,@OPECnews,0.0,1.0,0.0,GasBuddy,0.0,154
154,Tue Jan 09 10:39:31 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,155
155,Tue Jan 09 09:22:02 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,156
156,Sun Jan 07 13:04:22 +0000 2018,@OPECnews,0.0,1.0,0.0,OPEC News,0.0,157
157,Fri Jan 05 06:41:47 +0000 2018,@OPECnews,0.0,0.863,0.137,The Economist,0.4019,158
158,Fri Jan 05 06:38:54 +0000 2018,@OPECnews,0.0,0.901,0.099,OPEC News,0.3182,159
159,Fri Jan 05 06:37:57 +0000 2018,@OPECnews,0.0,0.811,0.189,OPEC News,0.5994,160
160,Fri Jan 05 06:36:46 +0000 2018,@OPECnews,0.0,0.948,0.052,OPEC News,0.0382,161
161,Thu Jan 04 06:57:14 +0000 2018,@OPECnews,0.0,0.842,0.158,Gulf Intelligence,0.4939,162
162,Wed Jan 10 22:00:01 +0000 2018,@OPECnews,0.0,1.0,0.0,GasBuddy,0.0,163
163,Tue Jan 09 10:39:31 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,164
164,Tue Jan 09 09:22:02 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,165
165,Sun Jan 07 13:04:22 +0000 2018,@OPECnews,0.0,1.0,0.0,OPEC News,0.0,166
166,Fri Jan 05 06:41:47 +0000 2018,@OPECnews,0.0,0.863,0.137,The Economist,0.4019,167
